"Date","Time","Action","FW.Name","Direction","Source","Destination","Bytes","Rules","Protocol"
"datetime=26Aug2001","20:26:06","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.75.28","dst=139.203.108.176","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:06","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.67.27.107","dst=139.203.156.98","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:06","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=202.110.160.231","dst=139.203.130.65","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:06","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.113.4","dst=139.203.172.82","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:06","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.17.61","dst=139.203.104.75","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:06","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.252.10.51","dst=139.203.170.137","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:06","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.67.57","dst=139.203.107.120","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:06","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.35.169","dst=139.203.160.241","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:07","action=accept","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.203.15.11","dst=209.219.149.24","bytes=60","rule=14","proto=tcp/smtp"
"datetime=26Aug2001","20:26:07","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=167.83.96.21","dst=139.203.187.176","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:07","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=200.36.20.243","dst=139.203.97.13","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:07","action=accept","fw_name=NFL-cp.NFL.gov","dir=inbound","src=204.127.131.51","dst=139.203.15.2","rule=16","proto=tcp/smtp",""
"datetime=26Aug2001","20:26:07","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.139.67.59","dst=139.203.54.84","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:07","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.67.84.50","dst=139.203.247.214","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:08","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=203.65.234.8","dst=139.203.176.26","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:08","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.97.139.94","dst=139.203.100.202","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:08","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=139.184.47.103","dst=139.203.193.78","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:08","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=200.211.147.23","dst=139.203.88.26","bytes=48","rule=29","proto=tcp/http"
"datetime=26Aug2001","20:26:09","action=drop","fw_name=NFL-cp.NFL.gov","dir=inbound","src=12.109.200.2","dst=139.203.14.209","bytes=48","rule=29","proto=tcp/http"
